Wall time,Step,Value
1683394110.9947433,0,3.044511318206787
1683394119.7662723,1,2.05491042137146
1683394128.7934349,2,1.9967612028121948
1683394137.8400152,3,1.9822797775268555
1683394145.9241624,4,1.9723966121673584
1683394153.9656339,5,1.9689853191375732
1683394162.0267334,6,1.9635664224624634
1683394170.1522665,7,1.9627844095230103
1683394178.2003584,8,1.960779070854187
1683394186.2820375,9,1.9575328826904297
1683394194.369636,10,1.957216739654541
1683394202.081429,11,1.9546529054641724
1683394210.2090635,12,1.9562252759933472
1683394218.7263374,13,1.9532198905944824
1683394227.2235548,14,1.9527981281280518
1683394235.1559749,15,1.952385663986206
1683394243.81289,16,1.9512646198272705
1683394251.855595,17,1.9513200521469116
1683394259.8488784,18,1.950368046760559
1683394267.9118123,19,1.9499950408935547
1683394275.956852,20,1.950095534324646
1683394283.9255316,21,1.9497894048690796
1683394291.936563,22,1.9490123987197876
1683394300.048508,23,1.9490535259246826
1683394308.476657,24,1.948611855506897
1683394316.7465415,25,1.9497148990631104
1683394324.6865654,26,1.949174404144287
1683394333.1014638,27,1.9484343528747559
